id,title,slug,url,author_name,author_slug,category,language,license,license_label,jurisdictions,status,visibility,publication_status,is_listed,views,downloads,runs,favorites,updated,created,updated_at,created_at,has_content,description
f24bb7f8-6919-4c29-be2f-8d105eb63b5b,isds-research,isds-research,https://lawve.ai/@cameron-russell/skill/isds-research,Cameron Russell,cameron-russell,litigation,en,agpl-3.0,AGPL 3.0,,active,public,Public,true,26,2,0,0,"Jul 16, 2026","Jul 16, 2026",2026-07-16T18:50:53.565890+02:00,2026-07-16T18:50:53.565890+02:00,true,"Compliant, retrieval-grounded research over investor-State dispute settlement (ISDS) awards and decisions. Use when the user asks about ICSID / investment-treaty arbitration cases, awards, or doctrines (fair and equitable treatment, expropriation, jurisdiction, costs, annulment, etc.) and wants answers grounded in the actual document text with pinpoint citations. Identifies the correct document on the case page, confirms it against the PDF's own first pages, retrieves primary documents on demand from ICSID, PCA, etc., never scrapes or hosts a corpus in violation of applicable terms, and cites only retrieved text."
4be3af16-1a9b-5168-9598-d214a85a10da,legal-ai-model-router,legal-ai-model-router,https://lawve.ai/@stephane-boghossian/skill/legal-ai-model-router,Stephane Boghossian,stephane-boghossian,legal-research,en,agpl-3.0,AGPL 3.0,INT,active,public,Public,true,25,1,0,0,"Jul 14, 2026","Jul 14, 2026",2026-07-14T22:21:22.137640+02:00,2026-07-14T22:21:18.191059+02:00,true,"Routes any legal task to the right LLM, like OpenRouter but for legal work and grounded in benchmarks instead of brand loyalty. Built from mid-2026 legal evals (legalbenchmarks.ai, Vals AI × Stanford LegalBench across 124 models, Harvey's Legal Agent Benchmark, the Atticus Project's CUAD/MAUD/ACORD) plus translation evidence (WMT25, SwiLTra-Bench, ArabLegalEval). Covers five verticals: contract drafting, info extraction, legal research, contract review, and legal translation (including Arabic/MENA). Each asks up to four questions (cost, speed, accuracy/stakes, privacy/jurisdiction/language), then returns a primary model, a fallback, what to avoid, and what a human must verify. Core principle: capability is not controllability, so every route ends with a verification step. Not legal advice; a lawyer owns the output."
616e3973-5f31-553d-a6d4-8825911d7472,eu-pl-law-tracker,eu-pl-law-tracker,https://lawve.ai/@grzegorz-skuza/skill/eu-pl-law-tracker,Grzegorz Skuza,grzegorz-skuza,compliance,en,mit,MIT,EU|PL,active,public,Public,true,176,15,0,1,"Jul 13, 2026","Jul 12, 2026",2026-07-13T10:05:40.655971+02:00,2026-07-12T16:46:46.751143+02:00,true,"Search, retrieval, and analysis of EU legal acts, as well as Polish legislation and draft laws implementing EU regulations (e.g. PPWR, CBAM, EUDR, ESPR, CSRD, CSDDD, GPSR, the AI Act, batteries, and ecodesign). Use when the user needs information on legal status, application dates, transitional provisions, relationships between legal acts, compliance obligations, and a report supported by legal bases and official sources."
49cc3f12-9d32-5e18-a526-11e17d485269,eu-legislation,eu-legislation,https://lawve.ai/@malik-taiar/skill/eu-legislation,Malik Taiar,malik-taiar,legal-research,en,agpl-3.0,AGPL 3.0,EU,active,public,Public,true,30,5,0,0,"Jul 9, 2026","Apr 15, 2026",2026-07-09T11:26:55.355684+02:00,2026-04-15T06:44:35.131666+02:00,true,"Access EU law. Search and retrieve Directives, Regulations, Treaties and CJEU case law from EUR-Lex."
2c7343cd-3e7f-52a5-9524-be5accae3336,"Gibraltar Legal, Regulatory & Compliance OSINT",gibraltar-legal-regulatory-compliance-osint,https://lawve.ai/@philip-vasquez/skill/gibraltar-legal-regulatory-compliance-osint,Philip Vasquez,philip-vasquez,legal-research,en,cc-by-4.0,CC BY 4.0,GI,active,public,Public,true,45,5,0,0,"Jul 8, 2026","Jul 8, 2026",2026-07-08T19:28:52.401117+02:00,2026-07-08T19:28:12.568399+02:00,true,"A jurisdiction-grounding reference file for AI assistants working on Gibraltar legal, regulatory, and compliance research. Corrects systematic errors AI models make when applying English law to Gibraltar — a distinct jurisdiction under the Gibraltar Constitution Order 2006, with its own court hierarchy, civil procedure rules, employment law, and regulatory framework. Covers the source hierarchy, court structure, civil procedure divergences (14-day deemed service, post-Jackson reforms not adopted), employment law specifics (uncapped discrimination awards, 5-employee redundancy threshold), FSC financial services regulation, AML/KYC compliance sources, Gibraltar Companies Act 2014 with UBO public register, and a structured directory of official public record sources. Includes research profiles for lawyers, compliance professionals, and due diligence practitioners. Not legal advice."
59c7c46e-9eb3-5e5e-9a30-78c6b6f1100b,enforcement-action-analysis,enforcement-action-analysis,https://lawve.ai/@amir-fadavi/skill/enforcement-action-analysis,Amir Fadavi,amir-fadavi,compliance,en,mit,MIT,US|UK,active,public,Public,true,14,2,0,1,"Jul 8, 2026","Jun 10, 2026",2026-07-08T18:56:51.399454+02:00,2026-06-10T04:14:20.803559+02:00,true,"Analyze any OFAC or OFSI enforcement action — by URL, pasted text, or uploaded document — and produce a structured root cause analysis as a formatted Excel (.xlsx) spreadsheet. Use this skill whenever a user names, links to, pastes, or uploads an OFAC or OFSI enforcement action and asks for any of the following: root cause analysis, compliance gaps, what went wrong, lessons learned, organizational self-assessment, or remediation planning. Also trigger when a user asks ""analyze this enforcement action"", ""what were the root causes"", ""turn this into a checklist"", or ""how do I make sure this doesn't happen to us"". Outputs a single-sheet .xlsx table with six columns: Root Cause | What Went Wrong | How It Went Wrong | What Could Have Stopped It | Is my organization immune to this? (Yes/No/Partial) | Notes."
8047e5e4-998d-5bd9-aedb-d4279ffbfedc,Founder Agreement Drafting,founder-agreement-drafting,https://lawve.ai/@stephane-boghossian/skill/founder-agreement-drafting,Stephane Boghossian,stephane-boghossian,legal-drafting,en,agpl-3.0,AGPL 3.0,INT,active,public,Public,true,61,11,0,0,"Jul 6, 2026","Jul 6, 2026",2026-07-06T18:30:59.430966+02:00,2026-07-06T17:04:04.469415+02:00,true,"A drafting-and-review copilot for a founders' / co-founders' agreement — the terms fixing equity, vesting, IP, roles, control, deadlock, and departure between cofounders. Jurisdiction-agnostic, anchored on the Delaware C-corp default. Two modes: DRAFT (intake → equity & vesting → clauses → blocker triage → pre-signature check) and REVIEW (audit an existing agreement against an 18-clause checklist and red-flag scan). It handles the highest-dispute terms first-class: the equity split as documented reasoning (not a fake calculator), reverse vesting and the 83(b) clock, present-tense IP assignment (the Stanford v. Roche trap), leaver buyback and dead equity, and the deadlock clause most tools omit. It drafts for the venture, never one founder against another. Not legal advice."
9c1b0dc7-8bed-513f-b83e-a1a9c254e67e,EU AI Act Transparency Assessor,eu-ai-act-transparency-assessor,https://lawve.ai/@oliver-schmidt-prietz/skill/eu-ai-act-transparency-assessor,Oliver Schmidt-Prietz,oliver-schmidt-prietz,compliance,en,agpl-3.0,AGPL 3.0,EU,active,public,Public,true,52,7,0,0,"Jul 5, 2026","Jul 5, 2026",2026-07-05T16:08:10.836855+02:00,2026-07-05T12:53:56.101250+02:00,true,"Assesses which of the Art. 50(1)-(5) transparency obligations of the EU AI Act apply to a given AI system's provider or deployer, grounded in the final Code of Practice on Transparency of AI-Generated Content (June 2026) and the Commission's draft Art. 50 Guidelines. Covers AI-chatbot disclosure, deepfake and synthetic-content marking/watermarking, emotion-recognition and biometric-categorisation notices, the machine-readable marking duty, the obviousness exceptions, and the implementation timeline. Outputs a formal mini-report plus a per-obligation compliance checklist with gap flags. For breadth-first tier triage use the EU AI Act System Classifier; for raw Art. 50 text and Q&A use the EU AI Act Knowledge Base; for the full role x tier matrix use the EU AI Act Obligations Mapper."
03def865-66c4-5500-bdc5-c8b9bb210867,special-jurisdiction-for-peace,special-jurisdiction-for-peace,https://lawve.ai/@jeanne-sulzer/skill/special-jurisdiction-for-peace,Jeanne Sulzer,jeanne-sulzer,human-rights,en,cc-by-4.0,CC BY 4.0,CO,active,public,Public,true,17,2,0,0,"Jul 4, 2026","Jul 4, 2026",2026-07-04T11:26:53.648301+02:00,2026-07-04T11:26:38.024611+02:00,true,"Verification-first methodology for the Jurisdicción Especial para la Paz (JEP), Colombia's transitional justice court under the 2016 Acuerdo Final with FARC-EP. Citations are verified against jep.gov.co before use. Covers the 11 macrocasos (from Caso 01 secuestro through Caso 11 violencia sexual, including Caso 03 falsos positivos), the three sanction tiers (propias, alternativas, ordinarias), TOAR, and the SIVJRNR sister bodies (CEV, UBPD). Guards the key structural distinctions (Sala de Reconocimiento vs Tribunal para la Paz; comparecientes FARC-EP vs Fuerza Pública vs terceros civiles; Acto Legislativo 01/2017 vs Ley Estatutaria 1957/2019). Research aid, not legal advice."
bdb10076-f80e-5a97-b0f7-9dca012889e4,kosovo-specialist-chambers,kosovo-specialist-chambers,https://lawve.ai/@jeanne-sulzer/skill/kosovo-specialist-chambers,Jeanne Sulzer,jeanne-sulzer,human-rights,en,cc-by-4.0,CC BY 4.0,XK|INT,active,public,Public,true,9,2,0,0,"Jul 4, 2026","Jun 10, 2026",2026-07-04T11:19:12.977822+02:00,2026-06-10T16:11:17.972712+02:00,true,"Verification-first methodology for the Kosovo Specialist Chambers and Specialist Prosecutor's Office (The Hague, applying Kosovo law). Citations are verified against scp-ks.org before use; appeal registry numbers are cited only once confirmed. Covers Thaçi et al., Mustafa, Pjetër Shala and Gucati & Haradinaj. Research aid, not legal advice."
